"id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","host_listing_count","availability_365"
4845511,4556365,"Stephanie","Brooklyn","Bushwick",40.6870339435621,-73.91798379883537,"Private room",75,15,0,"",,1,90
2577536,11567759,"Alex","Manhattan","Midtown East",40.75544709099158,-73.97269388117051,"Entire home/apt",279,2,12,"2014-12-02",1.3,1,342
2495729,3279857,"Louis","Manhattan","Kips Bay",40.741837264894,-73.97924785455511,"Entire home/apt",155,5,6,"2014-11-15",1.7,1,362
1107230,6079166,"George","Queens","Flushing",40.75713177604613,-73.81634710204804,"Private room",75,2,44,"2014-11-18",2.3,6,360
1725554,9094641,"Ch","Manhattan","West Village",40.733596640988786,-74.00306366259122,"Entire home/apt",250,2,11,"2014-12-17",0.8,1,365
3766532,6175868,"Jonathan","Manhattan","East Village",40.73023567259636,-73.98625907086705,"Private room",179,1,1,"2014-09-14",0.3,2,365
53469,204539,"Mark","Queens","Middle Village",40.71721923706771,-73.878562150948,"Entire home/apt",98,2,30,"2014-11-15",0.6,5,365
3504398,3069626,"Jona","Brooklyn","Fort Greene",40.68653291900454,-73.97496650559003,"Entire home/apt",195,1,10,"2014-12-12",1.9,1,359
21644,82685,"Elliott","Manhattan","Hamilton Heights",40.828028071603846,-73.9473084684745,"Private room",89,1,0,"",,1,365
3199530,5175217,"Balram","Manhattan","Hell's Kitchen",40.762184246888864,-73.9915010548455,"Entire home/apt",400,1,0,"",,2,365
2794599,9410745,"Sharon","Manhattan","Upper East Side",40.77372632206792,-73.94895818251112,"Entire home/apt",190,1,6,"2014-12-08",0.7,1,364
1422028,7352322,"Matthew","Brooklyn","Bedford-Stuyvesant",40.68338747446306,-73.94128162775174,"Private room",75,1,0,"",,1,308
766669,2750123,"Melonie","Brooklyn","Crown Heights",40.67599314374821,-73.95592387419136,"Private room",69,2,7,"2014-12-15",1.2,2,352
